text,clusters,probabilities
manufacture manufacturer directory directory china taiwan products manufacturers directory- taiwan china products manufacturer direcory exporter directory supplier directory suppliers business,2,"[1.4982110485561861e-07, 4.5118738967175887e-07, 0.9999984502792358, 4.5309132445936484e-08, 9.399571467838541e-07, 8.096560089043692e-10, 2.2351215323013207e-10, 1.1933063044644587e-11]"
empmag electronics manufacturing procurement homepage electronics manufacturing procurement magazine procrement power products production essentials data management business,3,"[6.37907238143498e-09, 5.582639914791798e-07, 0.0011648201616480947, 0.9985760450363159, 0.0002581256558187306, 1.755899314836995e-10, 1.291159890115523e-07, 2.7467751806398155e-07]"
dfma truecost paper true cost overseas manufacture product design costs manufacturing products china manufacturing redesigned product china save business,2,"[6.180970558489207e-06, 8.581892974035554e-10, 0.9999938011169434, 2.435162965372384e-12, 1.2028039009237546e-08, 1.1917131344241216e-11, 8.469874974992297e-12, 6.2040864694170184e-15]"
thomasnet thomasnet cnc machining metal stamping gaskets fasteners searchable database information products services cad drawings business,7,"[1.5297079158926863e-09, 6.498383299913257e-06, 0.0001328561338596046, 0.00039906249730847776, 0.0036571244709193707, 2.9207436469391723e-08, 1.1224178706470411e-06, 0.9958032965660095]"
crnano products nanotechnology products molecular manufacturing product structural design simplest products software-controlled extra cost manufacturing business,3,"[2.304475401615491e-06, 3.06347715195443e-06, 7.050184649415314e-05, 0.9289920926094055, 0.0002573015808593482, 1.4999674835536325e-09, 0.0001918591296998784, 0.07048290222883224]"
epa gov wastewise wrr buyman buy manufacture recycled wastewise epa organizations manufactured products recycled content percentage recycled content manufactured products business,2,"[2.1777172065640116e-08, 1.299359837503289e-07, 0.9989468455314636, 1.363876123150476e-07, 0.0010529498104006052, 3.978761764500405e-12, 4.973585432388461e-10, 6.788759332465588e-09]"
osha gov dcsp products topics concreteproducts index safety health topics products safety issues phases production manufacture portland cement pre-cast products business,4,"[4.277363879756635e-11, 3.4843170015896874e-11, 1.3254458641753786e-09, 1.9127583197886544e-11, 1.0, 3.516849626187396e-13, 1.2363122678382688e-12, 2.3318682054740414e-12]"
pentairpool welcome pentair pool products inc manufacturer manufacturer filters sanitizers cleaners heaters pumps california business,4,"[0.007100322749465704, 4.8096885620907415e-06, 0.0012400869745761156, 4.956871180183953e-07, 0.9916301369667053, 1.936196713359095e-05, 1.5214826021292538e-07, 4.473462468013167e-06]"
infoworld article hnciscoindia cisco manufacture products india infoworld news cisco systems manufacturing facility chennai south india products domestic indian market business,2,"[0.011387704871594906, 0.0015010355273261666, 0.6514992713928223, 0.31033751368522644, 0.024779660627245903, 0.0003484117623884231, 8.809976134216413e-05, 5.830484951729886e-05]"
durcomfg screw machine products manufacturing company multi-spindle screw machine products precision clients broadest services production business,2,"[1.7642120155869634e-06, 9.583598148310557e-05, 0.9729470014572144, 0.02085002139210701, 0.0023128772154450417, 1.250897980753507e-06, 0.003416249295696616, 0.0003749356546904892]"
